,league,side,teamname,result,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15
37199,LPL,Red,Suning,1,25986.0,31525.0,570.0,25260.0,32096.0,541.0,726.0,-571.0,29.0,3.0,3.0,5.0,5.0,9.0,3.0
37210,VCS,Blue,Luxury Esports,0,26943.0,30461.0,516.0,24247.0,29019.0,481.0,2696.0,1442.0,35.0,7.0,8.0,6.0,6.0,8.0,7.0
37211,VCS,Red,SBTC Esports,1,24247.0,29019.0,481.0,26943.0,30461.0,516.0,-2696.0,-1442.0,-35.0,6.0,8.0,7.0,7.0,8.0,6.0
37258,VCS,Blue,SBTC Esports,1,23119.0,28953.0,520.0,24511.0,29903.0,533.0,-1392.0,-950.0,-13.0,1.0,2.0,1.0,1.0,0.0,1.0
37259,VCS,Red,Luxury Esports,0,24511.0,29903.0,533.0,23119.0,28953.0,520.0,1392.0,950.0,13.0,1.0,0.0,1.0,1.0,2.0,1.0
37522,LCS,Blue,FlyQuest,1,25068.0,30217.0,565.0,24121.0,30575.0,583.0,947.0,-358.0,-18.0,1.0,1.0,0.0,0.0,0.0,1.0
37523,LCS,Red,TSM,0,24121.0,30575.0,583.0,25068.0,30217.0,565.0,-947.0,358.0,18.0,0.0,0.0,1.0,1.0,1.0,0.0
37546,LCS,Blue,100 Thieves,0,24978.0,28460.0,496.0,23713.0,29988.0,511.0,1265.0,-1528.0,-15.0,0.0,0.0,4.0,4.0,3.0,0.0
37547,LCS,Red,Cloud9,1,23713.0,29988.0,511.0,24978.0,28460.0,496.0,-1265.0,1528.0,15.0,4.0,3.0,0.0,0.0,0.0,4.0
37582,LCS,Blue,Immortals,0,23747.0,28831.0,503.0,26775.0,31099.0,585.0,-3028.0,-2268.0,-82.0,0.0,0.0,3.0,3.0,3.0,0.0
37583,LCS,Red,Team Liquid,1,26775.0,31099.0,585.0,23747.0,28831.0,503.0,3028.0,2268.0,82.0,3.0,3.0,0.0,0.0,0.0,3.0
